epoch,accuracy,loss,val_accuracy,val_loss
0,0.65,0.9115722054243087,0.5111111402511597,6.447237968444824
1,0.67,0.8881061404943467,0.5111111402511597,3.223618984222412
2,0.68,0.8586795043945312,0.5333333611488342,7.440553188323975
3,0.625,0.7478986477851868,0.5111111402511597,9.671003341674805
4,0.68,0.8189322906732559,0.5111111402511597,6.447237968444824
5,0.74,0.6282603687047958,0.4888888895511627,1.4486231803894043
6,0.72,0.6507633793354034,0.644444465637207,0.23562905192375183
7,0.77,0.5302878174185753,0.6888889074325562,0.5401551127433777
8,0.73,0.550796251296997,0.7111111283302307,0.47231370210647583
9,0.805,0.5358910411596298,0.7333333492279053,0.13997092843055725
10,0.775,0.5729767125844956,0.6000000238418579,1.0825779438018799
11,0.76,0.5417288762331008,0.7111111283302307,0.2286059856414795
12,0.755,0.46945029258728027,0.7555555701255798,1.1666109561920166
13,0.77,0.5487199014425278,0.8444444537162781,0.8224170804023743
14,0.79,0.4676827251911163,0.7333333492279053,0.897985577583313
15,0.805,0.4576541775465012,0.800000011920929,0.5911237001419067
16,0.8,0.5278243893384933,0.7333333492279053,1.8541381359100342
17,0.845,0.44504309952259063,0.8666666746139526,0.27628421783447266
18,0.84,0.38995949491858484,0.7333333492279053,0.6310349702835083
19,0.825,0.4547316300868988,0.8222222328186035,3.226525068283081
20,0.89,0.3249993132054806,0.7555555701255798,0.14306987822055817
21,0.885,0.29048343293368817,0.7555555701255798,0.10133425891399384
22,0.77,0.4740902948379517,0.7111111283302307,0.5862539410591125
23,0.85,0.3747385521233082,0.6888889074325562,3.7351653575897217
24,0.845,0.4284712239727378,0.800000011920929,0.640303909778595
25,0.905,0.2804326595366001,0.7555555701255798,0.04911203309893608
26,0.86,0.3438354706764221,0.7333333492279053,0.45504969358444214
27,0.915,0.23826751612126829,0.7555555701255798,0.7778003811836243
28,0.82,0.4342470949888229,0.6000000238418579,1.4641783237457275
29,0.91,0.23977260127663613,0.7333333492279053,0.2833073139190674
30,0.92,0.2090370075404644,0.7333333492279053,0.9093734622001648
31,0.935,0.16153133757412433,0.8444444537162781,1.8024650812149048
32,0.89,0.2859776147454977,0.7777777910232544,1.0208293199539185
33,0.91,0.23254420779645443,0.8444444537162781,0.21825556457042694
34,0.89,0.25690857715904714,0.7555555701255798,0.2758849859237671
35,0.915,0.2043846032395959,0.8222222328186035,0.12653997540473938
36,0.93,0.1865349710918963,0.7555555701255798,2.624715566635132
37,0.935,0.15137671561911703,0.8444444537162781,0.21361441910266876
38,0.92,0.19121814996004105,0.7333333492279053,1.4370187520980835
39,0.88,0.27558353237807753,0.6888889074325562,0.5771713852882385
40,0.94,0.1621274018101394,0.7333333492279053,0.9888795614242554
41,0.935,0.1524244887009263,0.800000011920929,1.7369521856307983
42,0.97,0.07176006131805479,0.7555555701255798,0.4980162978172302
43,0.945,0.15746864459477364,0.7777777910232544,0.2345355749130249
44,0.915,0.22793561605736612,0.800000011920929,0.0056623476557433605
45,0.945,0.14514850765466691,0.800000011920929,1.0790021419525146
46,0.96,0.1226241697743535,0.8222222328186035,0.30646780133247375
47,0.965,0.11241782497614622,0.8222222328186035,0.21621981263160706
48,0.94,0.14244548112154007,0.7777777910232544,0.4092491567134857
49,0.955,0.13962583936750889,0.7777777910232544,0.08993346989154816
