epoch,accuracy,loss,val_accuracy,val_loss
0,0.59,0.8252230191230774,0.5111111402511597,3.223618984222412
1,0.735,0.662200003862381,0.4888888895511627,9.670857429504395
2,0.785,0.5757927197217941,0.5333333611488342,0.9994886517524719
3,0.825,0.47580486968159674,0.5111111402511597,3.223618984222412
4,0.77,0.5199176082015038,0.4444444477558136,6.100566387176514
5,0.8,0.49258578330278396,0.7777777910232544,0.7158726453781128
6,0.805,0.5058604435622692,0.7333333492279053,0.04129035770893097
7,0.82,0.4935272616147995,0.7555555701255798,0.4257381558418274
8,0.89,0.32034556144848464,0.6888889074325562,0.001320833107456565
9,0.92,0.28173329822719095,0.5111111402511597,1.913041353225708
10,0.885,0.3551982706412673,0.7333333492279053,1.305654764175415
11,0.905,0.2640684567205608,0.6222222447395325,0.1951526254415512
12,0.88,0.28391287922859193,0.7333333492279053,1.0164463520050049
13,0.85,0.4029879479110241,0.800000011920929,0.35127314925193787
14,0.89,0.2936300979927182,0.5333333611488342,3.787329912185669
15,0.92,0.2576020971685648,0.800000011920929,1.1747715473175049
16,0.89,0.3570988332293928,0.7555555701255798,0.5252243280410767
17,0.875,0.27955845087766645,0.8444444537162781,0.511489748954773
18,0.935,0.23969989020377397,0.800000011920929,2.123002290725708
19,0.915,0.21395373919978738,0.7333333492279053,0.006703565828502178
20,0.915,0.26799431670457124,0.6888889074325562,1.7800376415252686
21,0.885,0.3452986316382885,0.7777777910232544,0.14027827978134155
22,0.92,0.17965721890330313,0.644444465637207,1.8036775588989258
23,0.965,0.1388276274036616,0.8222222328186035,0.3717035949230194
24,0.925,0.2111341688130051,0.7555555701255798,0.9594228863716125
25,0.94,0.11512473755516112,0.8888888955116272,0.323589950799942
26,0.94,0.15020119182765485,0.7555555701255798,0.9097150564193726
27,0.955,0.13280716658569872,0.7777777910232544,0.7461894750595093
28,0.97,0.10198867279104888,0.800000011920929,0.6657520532608032
29,0.945,0.12539035243913532,0.7777777910232544,0.7978004217147827
30,0.975,0.07516363567207009,0.800000011920929,0.4153262972831726
31,0.985,0.05409915255382657,0.8666666746139526,0.043774738907814026
32,0.965,0.10930373832583427,0.8222222328186035,0.5565193295478821
33,0.985,0.050166574439499526,0.8444444537162781,0.10846441984176636
34,0.99,0.031147701540030538,0.8666666746139526,0.17715679109096527
35,0.99,0.03425495957257226,0.8666666746139526,0.02007913403213024
36,0.975,0.06541470947617199,0.8666666746139526,0.6273091435432434
37,0.97,0.06369130877777934,0.800000011920929,1.8593778610229492
38,0.965,0.08168578214012086,0.8444444537162781,0.025798648595809937
39,0.985,0.04292681500315666,0.800000011920929,0.2473776638507843
40,0.995,0.03347847084514797,0.7333333492279053,0.10122565925121307
41,1.0,0.026403256263583898,0.800000011920929,1.0966918468475342
42,0.96,0.12167556523811072,0.800000011920929,0.4590679705142975
43,0.995,0.040065160447265956,0.800000011920929,0.003973470535129309
44,0.975,0.06207103464286774,0.8222222328186035,0.8406797647476196
45,0.98,0.04967761180363595,0.8444444537162781,0.04142379015684128
46,0.99,0.03460539395455271,0.800000011920929,0.36475586891174316
47,0.98,0.03402065183967352,0.800000011920929,0.36642253398895264
48,0.98,0.04117135318694636,0.8666666746139526,0.846114993095398
49,0.965,0.0513933570838708,0.7555555701255798,0.3019396662712097
